name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth
Anthony Pettis,Showtime,24,10,0,177.8,70.31,182.88,Orthodox,27-01-1987
Anthony Rocco Martin,,17,6,0,182.88,77.11,185.42,Orthodox,11-12-1989
Anthony Romero,The Genius,8,0,0,180.34,70.31,177.8,Orthodox,25-02-1997
Anthony Ruiz,El Toro,33,22,0,187.96,92.99,,Orthodox,03-11-1977
Anthony Smith,Lionheart,37,18,0,193.04,92.99,193.04,Orthodox,26-07-1988
Anthony Taylor,Pretty Boy,1,3,0,170.18,65.77,,,
Anthony Torres,The Crush,5,3,0,172.72,77.11,,Orthodox,31-07-1978
Anton Berzin,The Body Snatcher,5,1,0,187.96,92.99,,Orthodox,29-09-1989
Anton Kuivanen,,24,10,0,172.72,70.31,182.88,Orthodox,01-05-1984
Anton Turkalj,The Pleasure Man,8,3,0,193.04,92.99,198.12,Orthodox,10-06-1996
Anton Zafir,The Professor,7,3,0,180.34,77.11,,Orthodox,10-05-1987
Antoni Hardonk,,8,6,0,193.04,111.13,198.12,Orthodox,05-02-1976
Antonina Shevchenko,La Pantera,10,4,0,172.72,56.7,170.18,Southpaw,20-11-1984
Antonio Arroyo,,9,5,0,190.5,83.91,185.42,Orthodox,01-07-1989
Antonio Banuelos,,20,11,1,165.1,61.23,160.02,Orthodox,23-09-1979
Antonio Braga Neto,,9,3,0,190.5,83.91,195.58,Orthodox,29-10-1987
Antonio Carlos Junior,Cara de Sapato,11,5,0,187.96,83.91,200.66,Orthodox,16-03-1990
Antonio Carvalho,Pato,15,6,0,175.26,65.77,177.8,Orthodox,30-05-1979
Antonio Dos Santos,Junior Alpha,6,4,0,177.8,83.91,,Orthodox,21-07-1988
Antonio Duarte,Tigre,19,7,0,170.18,61.23,,,
Antonio Jones,Doomsday,6,1,0,180.34,83.91,,Orthodox,12-04-1985
Antonio McKee,Mandingo,29,6,2,172.72,70.31,,Southpaw,12-03-1970
Antonio Mendes,Samurai,18,13,0,190.5,92.99,195.58,Southpaw,19-04-1981
