RedFighter,BlueFighter,RedOdds,BlueOdds,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,BlueStance,BlueHeightCms,BlueReachCms,RedStance,RedHeightCms,RedReachCms,RedAge,BlueAge,Finish,FinishDetails,FinishRound,FinishRoundTime,UfcEvent,,,,,,,,,,,,,,,,
Ismail Naurdiev,Bruno Silva,-148,124,26-10-2024,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Middleweight,MALE,Orthodox,182.88,187.96,Orthodox,177.8,187.96,28,35,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Rinat Fakhretdinov,Carlos Leal,-218,180,26-10-2024,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Welterweight,MALE,Orthodox,180.34,187.96,Orthodox,182.88,187.96,33,30,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Anthony Hernandez,Michel Pereira,-162,136,19-10-2024,"Las Vegas, Nevada, USA",USA,Red,FALSE,Middleweight,MALE,Orthodox,185.42,185.42,Orthodox,182.88,190.5,31,31,KO/TKO,Elbows,5,2:22,,,,,,,,,,,,,,,,,
Rob Font,Kyler Phillips,455,-625,19-10-2024,"Las Vegas, Nevada, USA",USA,Red,FALSE,Bantamweight,MALE,Orthodox,172.72,182.88,Orthodox,172.72,180.34,37,29,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Charles Johnson,Sumudaerji,-305,245,19-10-2024,"Las Vegas, Nevada, USA",USA,Red,FALSE,Flyweight,MALE,Southpaw,172.72,182.88,Switch,175.26,177.8,33,28,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Jake Hadley,Cameron Smotherman,-575,425,19-10-2024,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Bantamweight,MALE,Orthodox,175.26,175.26,Southpaw,170.18,177.8,28,27,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Darren Elkins,Daniel Pineda,-170,142,19-10-2024,"Las Vegas, Nevada, USA",USA,Red,FALSE,Featherweight,MALE,Orthodox,170.18,175.26,Orthodox,177.8,180.34,40,39,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Matheus Nicolau,Asu Almabayev,205,-250,19-10-2024,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Flyweight,MALE,Orthodox,162.56,165.1,Orthodox,167.64,167.64,31,30,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Brad Katona,Jean Matsumoto,170,-205,19-10-2024,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Bantamweight,MALE,Orthodox,167.64,172.72,Orthodox,167.64,162.56,32,25,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Joselyne Edwards,Tamires Vidal,-258,210,19-10-2024,"Las Vegas, Nevada, USA",USA,Red,FALSE,Women's Bantamweight,FEMALE,Orthodox,167.64,172.72,Orthodox,172.72,177.8,29,26,SUB,Rear Naked Choke,3,4:33,,,,,,,,,,,,,,,,,
Jessica Penne,Elise Reed,190,-230,19-10-2024,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Strawweight,FEMALE,Orthodox,160.02,160.02,Orthodox,165.1,170.18,41,31,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Melissa Martinez,Alice Ardelean,-155,130,19-10-2024,"Las Vegas, Nevada, USA",USA,Red,FALSE,Women's Strawweight,FEMALE,Orthodox,160.02,157.48,Southpaw,157.48,167.64,27,32,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Austen Lane,Robelis Despaigne,330,-425,19-10-2024,"Las Vegas, Nevada, USA",USA,Red,FALSE,Heavyweight,MALE,Orthodox,200.66,213.36,Orthodox,198.12,203.2,36,36,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Brandon Royval,Tatsuro Taira,,,12-10-2024,"Las Vegas, Nevada, USA",USA,Red,FALSE,Flyweight,MALE,Orthodox,170.18,177.8,Southpaw,175.26,172.72,32,24,S-DEC,,5,5:00,,,,,,,,,,,,,,,,,
Brad Tavares,JunYong Park,,,12-10-2024,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Middleweight,MALE,Orthodox,177.8,185.42,Orthodox,185.42,187.96,36,33,S-DEC,,3,5:00,,,,,,,,,,,,,,,,,
